Language Code,Language Name,App Title (max 30),Short Description (max 80),Full Description (Long)
zh-CN,Chinese Simplified (简体中文),Heuristic E-Ink Reader,还原墨水屏纸质触感与3D翻页效果的护眼EPUB与PDF阅读器。,"Heuristic E-Ink Reader 将您的移动设备转变为反光柔和、无眩光的电子墨水屏（E-Paper）阅读器，带来沉浸式纸质书阅读体验。

核心功能：
• 真实墨水屏模拟：16级灰阶量化、Atkinson抖动算法与硬件LUT波形刷新。
• 3D立体仿真翻页：基于WebGL Three.js引擎，实时跟随手指触摸呈现纸张弯曲物理效果。
• 实体纸张纹理：毛边纸（Deckle Edge）、复古羊皮纸、和纸与棉浆纸质感。
• EPUB与PDF双引擎：支持重排EPUB动态排版与矢量级高清晰度PDF渲染。
• 活字印刷级排版：优雅衬线字体、精准两端对齐排版与油墨压印质感。
• 防晕光夜间模式：有效消除暗光环境下字体边缘的散射光晕，保护视力。
• 100% 离线与隐私安全：无广告、无数据收集。所有书籍仅保存在本地设备。"
zh-TW,Chinese Traditional (繁體中文),Heuristic E-Ink Reader,還原電子紙質感與3D翻頁效果的護眼EPUB與PDF閱讀器。,"Heuristic E-Ink Reader 在您的手機與平板上完美重現電子墨水屏（E-Paper）的柔和閱讀體驗，享受如實體書般的閱讀樂趣。

主要特點：
• 逼真電子紙模擬：16階灰度、Atkinson微點抖動與LUT波形刷新技術。
• 3D擬真立體翻頁：WebGL Three.js引擎驅動，展現自然流暢的紙張翻折曲面。
• 實體紙張肌理：毛邊手工紙、羊皮紙、手工和紙與棉紙紋理。
• EPUB與PDF雙核心：支援動態重排版面與向量級清晰PDF文件。
• 活版印刷美學：精緻襯線字體、嚴謹齊行排版與油墨微壓印質感。
• 防光暈夜讀模式：防止夜間暗處閱讀時光暈漫射引發的眼睛疲勞。
• 100% 離線隱私保護：無廣告、不追蹤。所有書籍僅存儲於本地設備。"
ar,Arabic (العربية),Heuristic E-Ink Reader,قارئ مريح لملفات EPUB و PDF مع ملمس الحبر الإلكتروني وتقليب صفحات ثلاثي الأبعاد.,"يحول تطبيق Heuristic E-Ink Reader شاشة هاتفك إلى قارئ كتب إلكترونية بملمس الورق الطبيعي (E-Paper) لحماية العين وتجربة قراءة هادئة.

الميزات الرئيسية:
• محاكاة واقعية للحبر الإلكتروني: 16 مستوى تدرج رمادي، تقنية تنقيط Atkinson ومحاكاة موجات LUT.
• تقليب صفحات ثلاثي الأبعاد: محرك WebGL Three.js لانحناء طبيعي وملموس للورق مع اللمس.
• ملامس ورق حقيقية: ورق حواف خشنة كلاسيكي، رقوق قديمة، وورق قطني طبيعي.
• معالجة ملفات EPUB و PDF: تخطيط ديناميكي للكتب وعرض متجهي فائق الوضوح للـ PDF.
• طباعة كلاسيكية راقية: خطوط مريحة ومحاذاة متقنة ومظهر حبر مطبوع واقعي.
• وضع ليلي مانع للإبهار: يقضي على تشتت الضوء وإجهاد العين في الإضاءة الخافتة.
• خصوصية كاملة وعمل دون إنترنت: بدون إعلانات وبدون تتبع. كتبك تبقى في جهازك فقط."
fa,Persian (فارسی),Heuristic E-Ink Reader,کتابخوان راحت EPUB و PDF با بافت کاغذ جوهر الکترونیک و ورق زدن سه‌بعدی.,"اپلیکیشن Heuristic E-Ink Reader صفحه موبایل شما را به یک کتابخوان جوهر الکترونیک (E-Paper) بدون بازتاب نور و بدون خستگی چشم تبدیل می‌کند.

ویژگی‌های برجسته:
• شبیه‌سازی واقعی جوهر الکترونیک: مقیاس ۱۶ سطحی خاکستری و الگوریتم‌های پیشرفته ماتریس.
• ورق زدن طبیعی سه‌بعدی: شبیه‌سازی خم شدن فیزیکی کاغذ با لمس انگشت به کمک WebGL.
• بافت‌های کاغذی طبیعی: کاغذ لبه‌دار دست‌ساز، پوست‌نوشته و کاغذ پنبه‌ای.
• پشتیبانی از EPUB و PDF: چینش روان متون و نمایش برداری باکیفیت پی‌دی‌اف.
• تایپوگرافی اصیل چاپ سنگی: تراز دقیق خطوط و عمق جوهر چاپی.
• حالت شب بدون هاله نور: مناسب برای مطالعه در تاریکی بدون آسیب به چشم.
• ۱۰۰٪ آفلاین و کاملاً امن: بدون تبلیغات و بدون ردیابی اطلاعات کاربر."
hi-IN,Hindi (हिन्दी),Heuristic E-Ink Reader,ई-इंक पेपर टेक्सचर और 3D पेज टर्न के साथ आंखों के लिए आरामदायक EPUB और PDF रीडर।,"Heuristic E-Ink Reader आपके मोबाइल को असली इलेक्ट्रॉनिक पेपर (E-Paper) डिवाइस की तरह बिना चकाचौंध वाली आरामदायक किताब में बदल देता है।

मुख्य विशेषताएं:
• असली ई-पेपर सिमुलेशन: 16-लेवल ग्रेस्केल और उन्नत LUT वेवफॉर्म तकनीक।
• 3D रियल पेज कर्ल: स्पर्श के साथ प्राकृतिक रूप से मुड़ने वाले पेज (WebGL Three.js)।
• प्राकृतिक पेपर टेक्सचर: रफ हैंडमेड पेपर, पार्चमेंट और कॉटन पेपर विकल्प।
• EPUB और PDF दोनों का समर्थन: सहज टेक्स्ट लेआउट और स्पष्ट वेक्टर PDF रेंडरिंग।
• लेटरप्रेस मुद्रण शैली: सुंदर फॉन्ट, सटीक अलाइनमेंट और असली स्याही की गहराई।
• एंटी-हैलोजन नाइट मोड: अंधेरे में आंखों के तनाव को पूरी तरह समाप्त करता है।
• 100% ऑफलाइन और सुरक्षित: कोई विज्ञापन नहीं, कोई डेटा ट्रैकिंग नहीं। आपकी किताबें पूरी तरह सुरक्षित हैं।"
id,Indonesian (Bahasa Indonesia),Heuristic E-Ink Reader,Pembaca EPUB & PDF ramah mata dengan tekstur kertas E-Ink dan efek membalik 3D.,"Heuristic E-Ink Reader menghadirkan pengalaman membaca E-Paper yang tenang, tanpa silau, dan nyaman di mata layaknya buku fisik pada ponsel Anda.

FITUR UTAMA:
• Simulasi E-Paper Asli: 16 tingkat skala abu-abu, dithering Atkinson, dan refresh gelombang LUT.
• Pembalik Halaman 3D: Animasi lipatan kertas realistis bertenaga WebGL Three.js.
• Tekstur Kertas Fisik: Pilihan kertas tepi kasar (Deckle Edge), perkamen, washi, dan katun.
• Pemrosesan Ganda EPUB & PDF: Tata letak teks reflowable dan pembacaan PDF vektor jernih.
• Tipografi Cetak Klasik: Font EB Garamond, perataan rata kanan-kiri, dan kedalaman tinta cap.
• Mode Gelap Anti-Halasi: Melindungi mata dari silau saat membaca di ruangan gelap.
• 100% Offline & Aman: Tanpa iklan, tanpa pelacakan data. Buku Anda hanya tersimpan di perangkat."
pl-PL,Polish (Polski),Heuristic E-Ink Reader,Przyjazny dla oczu czytnik EPUB i PDF z teksturą papieru E-Ink i przewracaniem 3D.,"Heuristic E-Ink Reader przekształca ekran Twojego telefonu w matowy czytnik E-Paper, zapewniając komfort czytania bez zmęczenia wzroku.

GŁÓWNE FUNKCJE:
• Realistyczna Symulacja E-Paper: 16 poziomów szarości, dithering Atkinsona i odświeżanie LUT.
• Fizyczne Przewracanie Stron 3D: Płynne zginanie kartek pod palcem oparte na WebGL Three.js.
• Autentyczne Tekstury Papieru: Papier czerpany (Deckle Edge), pergamin, washi i bawełna.
• Podwójny Silnik EPUB i PDF: Płynny układ tekstu oraz krystalicznie czysty rendering wektorowy PDF.
• Tradycyjna Typografia: Czcionki EB Garamond i Literata, pełne wyjustowanie i głębia tuszu.
• Tryb Nocny Anti-Halation: Eliminuje poświatę i chroni wzrok podczas czytania w ciemności.
• 100% Offline i Prywatność: Brak reklam i telemetrii. Książki pozostają wyłącznie na Twoim urządzeniu."
nl-NL,Dutch (Nederlands),Heuristic E-Ink Reader,Oogvriendelijke EPUB & PDF lezer met E-Paper papiertextuur en 3D pagina-omslag.,"Heuristic E-Ink Reader verandert uw mobiele scherm in een reflectievrije E-Paper e-reader met de serene rust van echt papier.

BELANGRIJKSTE KENMERKEN:
• Echte E-Paper Simulatie: 16 grijstinten, Atkinson-dithering en LUT-golfvormverversing.
• 3D Pagina-omslag: Fysiek buigende pagina's die soepel reageren op aanraking via WebGL Three.js.
• Voelbare Papiertexturen: Geschept papier (Deckle Edge), boekperkament, washi en katoenpapier.
• EPUB & PDF Ondersteuning: Vloeiende tekstverdeling en haarscherpe vector-PDF weergave.
• Boekdruk Typografie: EB Garamond, strakke uitlijning en authentieke inktimpressie.
• Anti-Halatie Nachtmodus: Voorkomt vermoeide ogen en lichtkringen in het donker.
• 100% Offline & Privé: Geen advertenties, geen tracking. Uw boeken blijven veilig op uw toestel."
sv-SE,Swedish (Svenska),Heuristic E-Ink Reader,Ögonvänlig EPUB- & PDF-läsare med äkta E-Paper-pappersstruktur och 3D-bläddring.,"Heuristic E-Ink Reader förvandlar din skärm till en behaglig och reflexfri E-Paper-läsare med klassisk bokkänsla.

FUNKTIONER:
• Äkta E-Paper-simulering: 16 gråskalenivåer, Atkinson-rastrering och LUT-vågformsuppdatering.
• 3D-sidvändning: Fysiskt böjande boksidor som svarar på fingerberöring via WebGL Three.js.
• Fysiska Pappersstrukturer: Handgjort papper med råa kanter (Deckle Edge), pergament och bomullspapper.
• EPUB och PDF: Flödande textbrytning och skarp vektorrendering för PDF-dokument.
• Boktryckartypografi: EB Garamond, perfekt marginaljustering och naturligt bläckdjup.
• Anti-Halationsläge: Skonsamt för ögonen och minimerar ljusspridning i mörka miljöer.
• 100% Offline & Säkert: Inga annonser, ingen spårning. Alla böcker stannar på din enhet."
no-NO,Norwegian (Norsk),Heuristic E-Ink Reader,Behagelig EPUB- og PDF-leser med E-Paper-papirstruktur og 3D-sidevending.,"Heuristic E-Ink Reader gjør mobilen din om til et refleksfritt E-Paper-lesebrett med følelsen av ekte papir og behagelig lesero.

HOVEDFUNKSJONER:
• Ekte E-Paper-simulering: 16 gråtoner, Atkinson-dithering og LUT-bølgeformoppdatering.
• 3D-sidevending: Fysisk bøyning av boksider med WebGL Three.js.
• Autentiske Papirstrukturer: Råkantet papir (Deckle Edge), bokpergament og bomullspapir.
• Full EPUB- og PDF-støtte: Dynamisk tekstbryting og skarp vektor-PDF.
• Klassisk Typografi: EB Garamond, perfekt blokkjustering og naturlig blekkfølelse.
• Anti-Halasjonsmodus: Skåner synet i mørket og hindrer lysringer rundt teksten.
• 100% Frakoblet og Trygt: Ingen reklame, ingen sporing. Bøkene dine forblir på enheten."
da-DK,Danish (Dansk),Heuristic E-Ink Reader,Behagelig EPUB- & PDF-læser med ægte E-Paper-tekstur og 3D-sideskift.,"Heuristic E-Ink Reader forvandler din telefon til en refleksfri E-Paper e-læser med rolig og behagelig læsning for øjnene.

HOVEDFUNKTIONER:
• Realistisk E-Paper Emulering: 16 gråtoner, Atkinson-dithering og LUT-opdatering.
• 3D-sidevending: Naturlig bøjning af bogsider baseret på WebGL Three.js.
• Taktile Papirstrukturer: Håndlavet råkantpapir (Deckle Edge), pergament og bomuldspapir.
• Dobbelt EPUB & PDF Motor: Fleksibel tekstombrydning og skarp PDF-gengivelse.
• Bogtryk Typografi: EB Garamond, fuld lige marginer og blækdybde.
• Anti-Halation Nattilstand: Beskytter øjnene mod blænding i mørke omgivelser.
• 100% Offline & Privat: Ingen annoncer, ingen sporing. Dine bøger forbliver på din enhed."
fi-FI,Finnish (Suomi),Heuristic E-Ink Reader,Silmille lempeä EPUB- ja PDF-lukija aidolla E-Paper-paperituntumalla ja 3D-sivuilla.,"Heuristic E-Ink Reader tuo sähköpaperin (E-Paper) rauhallisen ja heijastamattoman lukukokemuksen suoraan puhelimellesi.

TÄRKEIMMÄT OMINAISUUDET:
• Aito E-Paper-simulaatio: 16 harmaasävyä, Atkinson-rasterointi ja LUT-virkistystilat.
• 3D-sivunkääntö: WebGL Three.js -fysiikkamoottorilla toteutettu sivujen luonnollinen taipuminen.
• Fyysiset Paperitekstuurit: Karheapintainen käsintehty paperi, pergamentti ja puuvillapaperi.
• EPUB- ja PDF-tuki: Sujuva tekstinrivitys ja tarkka vektoripohjainen PDF-lukutila.
• Painotalon Typografia: EB Garamond -kirjasin, tasattu palsta ja syvä painomusteen tuntu.
• Häikäisyä estävä Yötila: Vähentää silmien rasitusta ja valokehien muodostumista pimeässä.
• 100% Offline & Yksityinen: Ei mainoksia, ei seurantaa. Kirjasi pysyvät vain laitteellasi."
el-GR,Greek (Ελληνικά),Heuristic E-Ink Reader,Ξεκούραστος αναγνώστης EPUB & PDF με υφή E-Paper και ρεαλιστικό γύρισμα σελίδας 3D.,"Το Heuristic E-Ink Reader μετατρέπει την οθόνη σας σε έναν ξεκούραστο αναγνώστη E-Paper χωρίς αντανακλάσεις, με την αυθεντική αίσθηση του έντυπου βιβλίου.

ΚΥΡΙΑ ΧΑΡΑΚΤΗΡΙΣΤΙΚΑ:
• Προηγμένη Προσομοίωση E-Paper: 16 επίπεδα γκρι, rastering Atkinson και ανανέωση κυματομορφής LUT.
• Ρεαλιστικό Γύρισμα 3D: Φυσικό λύγισμα σελίδας με την αφή μέσω WebGL Three.js.
• Αυθεντικές Υφές Χαρτιού: Χειροποίητο χαρτί με αδρές άκρες (Deckle Edge), περγαμηνή και βαμβακερό χαρτί.
• Διπλός Μηχανισμός EPUB & PDF: Ρέουσα σελιδοποίηση κειμένου και καθαρή διανυσματική προβολή PDF.
• Κλασική Τυπογραφία: Γραμματοσειρά EB Garamond, πλήρης στοίχιση και βάθος μελανιού τυπογραφείου.
• Λειτουργία Anti-Halation: Προστατεύει τα μάτια από θαμπώματα και άλως στο σκοτάδι.
• 100% Εκτός Σύνδεσης & Ιδιωτικό: Χωρίς διαφημίσεις, χωρίς παρακολούθηση. Τα βιβλία σας μένουν στη συσκευή σας."
cs-CZ,Czech (Čeština),Heuristic E-Ink Reader,Čtečka EPUB a PDF šetrná k očím s texturou E-Paper a 3D otáčením stránek.,"Heuristic E-Ink Reader promění váš mobilní displej v matnou elektronickou čtečku E-Paper bez odlesků pro ničím nerušené čtení.

HLAVNÍ FUNKCE:
• Věrná emulace E-Paper: 16 odstínů šedi, Atkinsonovo dithering a obnova křivky LUT.
• 3D otáčení stránek: Fyzikální ohýbání listů knihy při dotyku pomocí WebGL Three.js.
• Autentické textury papíru: Ruční papír s hrubým okrajem (Deckle Edge), pergamen a bavlna.
• Podpora EPUB a PDF: Plynulá sazba elektronických knih a ostré vektorové vykreslování PDF.
• Knižní typografie: Písma EB Garamond a Literata, zarovnání do bloku a hloubka knihtisku.
• Noční režim Anti-Halation: Zabraňuje únavě očí a světelným kruhům při čtení ve tmě.
• 100% Offline a bezpečné: Žádné reklamy, žádné sledování. Knihy zůstávají pouze ve vašem zařízení."
hu-HU,Hungarian (Magyar),Heuristic E-Ink Reader,Szemkímélő EPUB és PDF olvasó valódi E-Paper textúrával és 3D lapozással.,"A Heuristic E-Ink Reader a hagyományos papírkönyvek nyugtató, tükröződésmentes E-Paper élményét hozza el telefonjára.

FŐBB JELLEMZŐK:
• Élethű E-Paper szimuláció: 16 szürkeárnyalat, Atkinson raszterezés és LUT hullámforma frissítés.
• 3D lapozási élmény: WebGL Three.js alapú természetes papírhajlási fizika érintésre.
• Tapintható papírtextúrák: Merített rongypapír (Deckle Edge), pergamen és pamutpapír.
• EPUB és PDF támogatás: Dinamikus szövegtördelés és kristálytiszta vektoros PDF olvasás.
• Nyomdai tipográfia: EB Garamond betűtípus, sorkizárt igazítás és magasnyomási tintamélység.
• Anti-Halation éjszakai mód: Megakadályozza a szemfáradtságot és a fényudvarok képződését.
• 100% Offline és biztonságos: Nincsenek hirdetések, nincs adatgyűjtés. Könyvei a készülékén maradnak."
ro-RO,Romanian (Română),Heuristic E-Ink Reader,Cititor EPUB și PDF relaxant pentru ochi cu textură E-Paper și răsfoire 3D.,"Heuristic E-Ink Reader transformă telefonul într-un e-reader E-Paper mat și odihnitor pentru ochi, cu farmecul cărților tipărite.

CARACTERISTICI PRINCIPALE:
• Simulare E-Paper Realistă: 16 nuanțe de gri, dithering Atkinson și reîmprospătare LUT.
• Răsfoire 3D a Paginilor: Curbare fizică a paginilor la atingere prin WebGL Three.js.
• Texturi Autentice de Hârtie: Hârtie manuală cu margini brute (Deckle Edge), pergament și bumbac.
• Motor Dublu EPUB și PDF: Aranjare fluidă a textului și afișare vectorială clară a PDF-urilor.
• Tipografie de Carte: Fonturi EB Garamond, aliniere justificată și efect de presă tipografică.
• Mod Noapte Anti-Halație: Protejează vederea în întuneric eliminând reflexiile orbitoare.
• 100% Offline și Privat: Fără reclame, fără monitorizare. Cărțile rămân doar pe dispozitivul dvs."
uk-UA,Ukrainian (Українська),Heuristic E-Ink Reader,Комфортна читалка EPUB та PDF з текстурою E-Paper і 3D-гортанням сторінок.,"Heuristic E-Ink Reader перетворює екран вашого смартфона на матову електронну книгу з текстурою справжнього паперу без відблисків.

ГОЛОВНІ ОСОБЛИВОСТІ:
• Реалістична симуляція E-Paper: 16 градацій сірого, дизеринг Аткінсона та оновлення LUT.
• 3D-гортання сторінок: Природний вигин аркушів під пальцем на базі WebGL Three.js.
• Натуральні текстури паперу: Нерівні краї (Deckle Edge), книжковий пергамент і бавовна.
• Підтримка EPUB та PDF: Плавна верстка електронних книг та кришталево чіткий векторний PDF.
• Вишукана типографіка: Шрифти EB Garamond і Literata, вирівнювання за шириною та глибина друку.
• Нічний режим Anti-Halation: Знижує втому очей і прибирає ореоли світла навколо літер у темряві.
• 100% Офлайн і безпечно: Без реклами та стеження. Ваші книги зберігаються лише на пристрої."
